880.3	522.7	887.6	527.8	FFL
902.5	518.2	921.6	523.3	Parent's
923.0	518.2	945.6	523.3	Bedroom
898.8	505.0	904.2	510.1	SB
905.6	505.0	925.4	510.1	LEGEND
851.1	534.1	856.6	539.2	SB
858.0	534.1	860.8	539.2	1
872.8	534.1	881.0	539.2	3'6"
891.6	531.5	894.4	536.6	2
895.8	531.5	906.2	536.6	way
907.6	531.5	923.7	536.6	ceiling
925.1	531.5	935.4	536.6	light
936.8	531.5	949.4	536.6	point
891.6	537.7	894.4	542.8	2
895.8	537.7	906.2	542.8	way
907.6	537.7	915.7	542.8	fan
917.2	537.7	929.8	542.8	point
891.6	544.0	901.5	549.1	foot
902.9	544.0	913.2	549.1	light
914.6	544.0	927.2	549.1	point
850.6	555.7	856.1	560.8	SB
857.5	555.7	860.3	560.8	2
872.8	555.7	881.0	560.8	3'0"
891.4	553.1	905.1	558.2	mirror
906.5	553.1	916.8	558.2	light
918.2	553.1	930.8	558.2	point
891.6	559.3	902.2	564.4	5/15
903.6	559.3	915.3	564.4	amp
916.7	559.3	932.0	564.4	switch
933.4	559.3	949.6	564.4	socket
951.0	559.3	952.7	564.4	-
954.1	559.3	963.3	564.4	1no
850.6	570.7	856.1	575.8	SB
857.5	570.7	860.3	575.8	3
872.8	570.7	881.0	575.8	2'0"
891.6	568.0	894.4	573.1	2
895.8	568.0	906.2	573.1	way
907.6	568.0	923.7	573.1	ceiling
925.1	568.0	935.4	573.1	light
936.8	568.0	949.4	573.1	point
891.6	574.2	894.4	579.3	2
895.8	574.2	906.2	579.3	way
907.6	574.2	915.7	579.3	fan
917.2	574.2	929.8	579.3	point
891.6	580.5	899.7	585.5	fan
901.1	580.5	923.5	585.5	regulator
891.7	586.7	894.5	591.8	4
895.9	586.7	912.0	591.8	ceiling
913.4	586.7	923.7	591.8	light
925.1	586.7	939.7	591.8	points
848.7	596.2	854.2	601.3	SB
855.6	596.2	862.1	601.3	3A
872.8	596.2	881.0	601.3	2'0"
891.6	595.8	902.2	600.9	5/15
903.6	595.8	915.3	600.9	amp
916.7	595.8	932.0	600.9	switch
933.4	595.8	949.6	600.9	socket
951.0	595.8	952.7	600.9	-
954.1	595.8	956.9	600.9	2
958.3	595.8	966.7	600.9	nos
850.6	605.9	856.1	611.0	SB
857.5	605.9	860.3	611.0	4
872.8	605.9	881.0	611.0	2'0"
891.6	605.1	894.4	610.1	2
895.8	605.1	911.9	610.1	ceiling
913.3	605.1	923.6	610.1	light
925.0	605.1	939.6	610.1	points
891.7	611.3	899.6	616.4	AC
901.0	611.3	913.6	616.4	point
891.6	617.5	908.8	622.6	curtain
910.2	617.5	920.4	622.6	light
921.8	617.5	934.5	622.6	point
891.6	623.8	907.7	628.9	ceiling
909.1	623.8	927.5	628.9	indirect
929.0	623.8	939.2	628.9	light
940.6	623.8	953.2	628.9	point
891.6	630.0	906.9	635.1	chajja
908.3	630.0	918.6	635.1	light
920.0	630.0	932.6	635.1	point
891.6	636.3	905.8	641.3	diwali
907.2	636.3	917.4	641.3	light
918.8	636.3	931.5	641.3	point
891.4	642.5	912.0	647.6	hanging
913.5	642.5	923.7	647.6	light
925.1	642.5	937.7	647.6	point
848.7	653.4	854.2	658.5	SB
855.6	653.4	862.1	658.5	4A
872.8	653.4	881.0	658.5	2'0"
891.6	653.1	902.2	658.1	5/15
903.6	653.1	915.3	658.1	amp
916.7	653.1	932.0	658.1	switch
933.4	653.1	949.6	658.1	socket
951.0	653.1	952.7	658.1	-
954.1	653.1	956.9	658.1	2
958.3	653.1	966.7	658.1	nos
850.8	664.7	856.2	669.8	SB
857.6	664.7	860.4	669.8	5
872.7	664.7	880.9	669.8	5'0"
891.6	663.3	902.2	668.3	5/15
903.6	663.3	915.3	668.3	amp
916.7	663.3	932.9	668.3	socket
